,ACCT,AGR,ANSC,ANTH,ARTH,ASCI,BIOC,BIOL,BIOM,BLCK,BOT,BUS,CHEM,CIS,CLAS,COOP,CREA,CROP,CRWR,CTS,ECON,EDRD,ENGG,ENGL,ENVS,EQN,EURO,FARE,FIN,FOOD,FREN,FRHD,GEOG,GERM,GREK,HIST,HK,HORT,HROB,HTM,HUMN,IAEF,IBIO,IDEV,IES,INDG,IPS,ITAL,JLS,LARC,LAT,LING,MATH,MBG,MCB,MCS,MGMT,MICR,MUSC,NANO,NEUR,NUTR,ONEH,PATH,PBIO,PHIL,PHYS,POLS,POPM,PSYC,REAL,SART,SOAN,SOC,SPAN,SPMT,STAT,SXGN,THST,TOX,UNIV,VETM,ZOO
Maximum Class Size,3272.0,953.0,1593.0,1519.0,743.0,424.0,1728.0,5388.0,1425.0,189.0,300.0,201.0,4435.0,5155.0,783.0,3200.0,59.0,177.0,335.0,205.0,3923.0,190.0,6153.0,1557.0,2689.0,215.0,271.0,1015.0,923.0,833.0,531.0,3548.0,3210.0,101.0,52.0,3239.0,1560.0,265.0,2795.0,607.0,96.0,50.0,201.0,629.0,85.0,249.0,25.0,140.0,260.0,1040.0,150.0,325.0,5430.0,1562.0,600.0,4123.0,5121.0,1400.0,1872.0,10.0,535.0,2688.0,170.0,300.0,25.0,2060.0,4223.0,4088.0,592.0,7684.0,465.0,488.0,1333.0,4532.0,200.0,1405.0,2583.0,291.0,782.0,313.0,1293.0,3513.0,1254.0
Initial Enrollment,2748.0,898.0,1425.0,1457.0,615.0,338.0,1691.0,5175.0,1248.0,170.0,292.0,61.0,4343.0,4778.0,701.0,1451.0,58.0,140.0,281.0,193.0,3671.0,189.0,5720.0,1518.0,2553.0,161.0,228.0,824.0,873.0,617.0,427.0,3409.0,2804.0,94.0,43.0,3045.0,1216.0,231.0,2435.0,438.0,64.0,22.0,68.0,529.0,27.0,223.0,23.0,119.0,231.0,675.0,117.0,325.0,5284.0,1495.0,351.0,3999.0,4283.0,1326.0,1155.0,6.0,427.0,2199.0,112.0,299.0,14.0,1951.0,3888.0,3501.0,544.0,7344.0,456.0,419.0,1207.0,4231.0,194.0,1258.0,2482.0,251.0,745.0,297.0,969.0,3114.0,1168.0
Ending Enrollment,2545.0,880.0,1370.0,1388.0,550.0,331.0,1663.0,5017.0,1220.0,156.0,279.0,66.0,4035.0,4530.0,618.0,1423.0,57.0,135.0,276.0,178.0,3181.0,169.0,5581.0,1425.0,2439.0,160.0,208.0,801.0,800.0,588.0,402.0,3312.0,2644.0,85.0,24.0,2704.0,1165.0,229.0,2293.0,428.0,57.0,22.0,68.0,495.0,26.0,200.0,23.0,98.0,227.0,664.0,99.0,320.0,4986.0,1465.0,327.0,3843.0,4158.0,1287.0,1109.0,6.0,409.0,2143.0,107.0,283.0,13.0,1824.0,3418.0,3212.0,511.0,6925.0,440.0,416.0,1136.0,4021.0,164.0,1237.0,2182.0,248.0,696.0,268.0,955.0,3106.0,1135.0
Students Dropped,203.0,18.0,55.0,69.0,65.0,7.0,28.0,158.0,28.0,14.0,13.0,0.0,308.0,248.0,83.0,28.0,1.0,5.0,5.0,15.0,490.0,20.0,139.0,93.0,114.0,1.0,20.0,23.0,73.0,29.0,25.0,97.0,160.0,9.0,19.0,341.0,51.0,2.0,142.0,10.0,7.0,0.0,0.0,34.0,1.0,23.0,0.0,21.0,4.0,11.0,18.0,5.0,298.0,30.0,24.0,156.0,125.0,39.0,46.0,0.0,18.0,56.0,5.0,16.0,1.0,127.0,470.0,289.0,33.0,419.0,16.0,3.0,71.0,210.0,30.0,21.0,300.0,3.0,49.0,29.0,14.0,8.0,33.0
Percentage Students Dropped,0.07387190684133915,0.020044543429844075,0.038596491228070184,0.047357584076870296,0.10569105691056913,0.020710059171597628,0.016558249556475446,0.030531400966183564,0.022435897435897467,0.08235294117647063,0.044520547945205435,0.0,0.07091871977895459,0.05190456257848475,0.11840228245363771,0.019297036526533473,0.017241379310344862,0.0357142857142857,0.017793594306049876,0.07772020725388606,0.1334786161808772,0.10582010582010581,0.024300699300699335,0.06126482213438733,0.044653349001175124,0.006211180124223614,0.08771929824561409,0.027912621359223344,0.08361970217640324,0.04700162074554293,0.05854800936768145,0.028454092109122864,0.05706134094151216,0.0957446808510638,0.4418604651162791,0.11198686371100164,0.04194078947368418,0.008658008658008698,0.05831622176591378,0.022831050228310557,0.109375,0.0,0.0,0.06427221172022679,0.03703703703703709,0.10313901345291476,0.0,0.17647058823529416,0.017316017316017285,0.016296296296296253,0.15384615384615385,0.01538461538461533,0.05639666919000752,0.02006688963210701,0.06837606837606836,0.03900975243810956,0.029185150595377074,0.02941176470588236,0.03982683982683988,0.0,0.042154566744730726,0.025466120964074634,0.044642857142857095,0.05351170568561869,0.0714285714285714,0.0650948231676064,0.12088477366255146,0.08254784347329336,0.06066176470588236,0.057053376906318065,0.03508771929824561,0.007159904534606243,0.05882352941176472,0.04963365634601746,0.15463917525773196,0.01669316375198726,0.12087026591458505,0.01195219123505975,0.06577181208053695,0.09764309764309764,0.014447884416924683,0.0025690430314707635,0.02825342465753422
Empty Spots To Register,0.1601466992665037,0.057712486883525704,0.10546139359698681,0.04081632653061229,0.17227456258411844,0.2028301886792453,0.02141203703703709,0.039532293986636935,0.12421052631578944,0.10052910052910058,0.026666666666666616,0.6965174129353233,0.02074408117249149,0.07313288069835111,0.10472541507024269,0.5465625000000001,0.016949152542372836,0.20903954802259883,0.16119402985074627,0.05853658536585371,0.06423655365791481,0.0052631578947368585,0.07037217617422398,0.025048169556840083,0.050576422461881765,0.25116279069767444,0.15867158671586712,0.18817733990147778,0.054171180931744334,0.2593037214885955,0.19585687382297556,0.03917700112739575,0.12647975077881624,0.06930693069306926,0.17307692307692313,0.059895029330040095,0.2205128205128205,0.1283018867924528,0.12880143112701248,0.2784184514003295,0.33333333333333337,0.56,0.6616915422885572,0.1589825119236884,0.6823529411764706,0.10441767068273089,0.07999999999999996,0.15000000000000002,0.11153846153846159,0.35096153846153844,0.21999999999999997,0.0,0.026887661141804742,0.042893725992317555,0.41500000000000004,0.03007518796992481,0.16363991407928136,0.052857142857142825,0.3830128205128205,0.4,0.20186915887850465,0.1819196428571429,0.3411764705882353,0.0033333333333332993,0.43999999999999995,0.052912621359223255,0.07932749230404923,0.14359099804305286,0.08108108108108103,0.04424778761061943,0.01935483870967747,0.14139344262295084,0.09452363090772697,0.0664165931156222,0.030000000000000027,0.10462633451957293,0.03910181958962444,0.13745704467353947,0.04731457800511507,0.051118210862619806,0.25058004640371234,0.11357813834329633,0.06858054226475274
